u0023_20e3	keycap: #
u1f1f0_1f1f5	flag: North Korea
u1f1f0_1f1f7	flag: South Korea
u1f1f0_1f1fc	flag: Kuwait
u1f1f0_1f1fe	flag: Cayman Islands
u1f1f0_1f1ff	flag: Kazakhstan
u1f1f1_1f1e6	flag: Laos
u1f1f1_1f1e7	flag: Lebanon
u1f1f1_1f1e8	flag: St. Lucia
u1f1f1_1f1ee	flag: Liechtenstein
u1f1f1_1f1f0	flag: Sri Lanka
u1f1f1_1f1f7	flag: Liberia
u1f1f1_1f1f8	flag: Lesotho
u1f1f1_1f1f9	flag: Lithuania
u1f1f1_1f1fa	flag: Luxembourg
u1f1f1_1f1fb	flag: Latvia
u1f1f1_1f1fe	flag: Libya
u1f1f2_1f1e6	flag: Morocco
u1f1f2_1f1e8	flag: Monaco
u1f1f2_1f1e9	flag: Moldova
u1f1f2_1f1ea	flag: Montenegro
u1f1f2_1f1eb	flag: St. Martin
u1f1f2_1f1ec	flag: Madagascar
u1f1f2_1f1ed	flag: Marshall Islands
u1f1f2_1f1f0	flag: North Macedonia
u1f1f2_1f1f1	flag: Mali
u1f1f2_1f1f2	flag: Myanmar (Burma)
u1f1f2_1f1f3	flag: Mongolia
u1f1f2_1f1f4	flag: Macao SAR China
u1f1f2_1f1f5	flag: Northern Mariana Islands
u1f1f2_1f1f6	flag: Martinique
u1f1f2_1f1f7	flag: Mauritania
u1f1f2_1f1f8	flag: Montserrat
u1f1f2_1f1f9	flag: Malta
u1f1f2_1f1fa	flag: Mauritius
u1f1f2_1f1fb	flag: Maldives
u1f1f2_1f1fc	flag: Malawi
u1f1f2_1f1fd	flag: Mexico
u1f1f2_1f1fe	flag: Malaysia
u1f1f2_1f1ff	flag: Mozambique
u1f1f3_1f1e6	flag: Namibia
u1f1f3_1f1e8	flag: New Caledonia
u1f1f3_1f1ea	flag: Niger
u1f1f3_1f1eb	flag: Norfolk Island
u1f1f3_1f1ec	flag: Nigeria
u1f1f3_1f1ee	flag: Nicaragua
u1f1f3_1f1f1	flag: Netherlands
u1f1f3_1f1f4	flag: Norway
u1f1f3_1f1f5	flag: Nepal
u1f1f3_1f1f7	flag: Nauru
u1f1f3_1f1fa	flag: Niue
u1f1f3_1f1ff	flag: New Zealand
u1f1f4_1f1f2	flag: Oman
u1f1f5_1f1e6	flag: Panama
u1f1f5_1f1ea	flag: Peru
u1f1f5_1f1eb	flag: French Polynesia
u1f1f5_1f1ec	flag: Papua New Guinea
u1f1f5_1f1ed	flag: Philippines
u1f1f5_1f1f0	flag: Pakistan
u1f1f5_1f1f1	flag: Poland
u1f1f5_1f1f2	flag: St. Pierre & Miquelon
u1f1f5_1f1f3	flag: Pitcairn Islands
